num_dossier,nom_site,date_creasite,adresse,quartier,secteur,commune,ev_tabac,ev_proprietaire,nb_acces,ev_fermable,ev_typologie,nb_arbres,acces_pmr
MNTP_000016,Parc Sainte Odile,19770101.0,Route de Mende,Centre,Verdanson,Montpellier,Non,Commune,4.0,Oui,1. Parcs et squares,43.0,Oui
MNTP_002527,Parc Georges Charpak,19970101.0,Avenue Raymond Dugrand,Est,Port Marianne,Montpellier,Non,Commune,6.0,Non,1. Parcs et squares,0.0,Oui
MNTP_001212,ZAE Garosud - Rue de la Jasse de Maurin,20160105.0,Rue de la Jasse de Maurin,Sud,Croix d'Argent,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,39.0,Non
MNTP_001078,Berges du Rieucoulon - Plantations,20080416.0,Rue Rouget de Lisle - Pas du Loup - Sichuan - Cheng Du - Rte de Lavérune,Sud,Croix d'Argent,Montpellier,Non,Commune,0.0,Non,9. Espaces de nature,0.0,Non
MNTP_001294,Abords Rue du Mas de Villaret,20010101.0,Rue du Mas de Villaret,Sud,Croix d'Argent,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,0.0,Non
MNTP_000024,Multi accueil L'Oustal dou Caganis,19000101.0,Rue des Razeteurs,Sud,Prés d'Arènes,Montpellier,Non,Commune,1.0,Oui,3. Acc. de bât. et équipements publics,0.0,Oui
MNTP_000266,Abords Cuisine centrale,19850101.0,Route de Lavérune,Nord-Ouest,Cévennes,Montpellier,Non,3M,0.0,Non,3. Acc. de bât. et équipements publics,0.0,Non
MNTP_001200,Toiture terrasse Central Park,20130101.0,Place Georges Frêche,Sud,Prés d'Arènes,Montpellier,Non,Commune,1.0,Oui,19. Espaces verts autres,15.0,Non
MNTP_000020,Parc des Pastourelles,18500101.0,Rue Jules Isaac,Est,Port Marianne,Montpellier,Oui,Commune,3.0,Oui,1. Parcs et squares,118.0,Oui
MNTP_000902,Abords Rue des Impressionnistes,20000401.0,Rue des Impressionnistes,Nord-Ouest,Hôpitaux - Facultés,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,6.0,Non
MNTP_000373,Abords parking Chemin de la Fontaine du Roy,19900101.0,Chemin de la Fontaine du Roy,Nord-Ouest,Mosson,Montpellier,Non,Commune,0.0,Non,5. Acc. de zones indus. et commerciales,0.0,Non
MNTP_000588,Abords Rue de la Sardane,19920130.0,Rue de la Sardane,Sud,Croix d'Argent,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,2.0,Non
MNTP_000603,Abords parking du zoo de Lunaret,19910701.0,Avenue du Val de Montferrand,Nord-Ouest,Hôpitaux - Facultés,Montpellier,Non,Commune,0.0,Non,3. Acc. de bât. et équipements publics,0.0,Non
MNTP_001166,Tram Ligne 3 - Rue de Clémentville,20140903.0,Rue de Clémentville,Nord-Ouest,Cévennes,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,0.0,Non
MNTP_000007,Parc Petit bois de la Colline,19830101.0,Rue de la Croix de Figuerolles,Nord-Ouest,Cévennes,Montpellier,Non,Commune,4.0,Non,10. Bassins de rétention,0.0,En partie
MNTP_002533,Abords Rue du Mas de Nègre - Nord,20000101.0,Rue du Mas de Nègre,Sud,Croix d'Argent,Montpellier,Non,SA3M,0.0,Non,2. Acc. de voiries,0.0,Non
MNTP_000092,Ilot Place du Gévaudan,19720101.0,Place du Gévaudan,Nord-Ouest,Les Hauts de Massane,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,0.0,Non
MNTP_000270,Abords Avenue de la Liberté - Ouest,19760101.0,Avenue de la Liberté,Nord-Ouest,Cévennes,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,0.0,Non
MNTP_001091,Tram Ligne 2 - Abords Allée Alegria Beracasa,20070601.0,Allée Alegria Beracasa,Centre,Antigone,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,0.0,Non
MNTP_000859,Ilots Avenue Raymond Dugrand - Faculté Richter,19980901.0,Avenue Raymond Dugrand,Est,Port Marianne,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,0.0,Non
MNTP_000848,Abords Allée des Castors du Midi - Rue William et Catherine Booth,19980428.0,Allée des Castors du Midi - Rue William et Catherine Booth,Sud,Croix d'Argent,Montpellier,Non,3M,0.0,Non,4. Acc. d'habitations,3.0,Non
MNTP_001072,Abords Odysseum,19000101.0,Boulevard Pénélope / Boulevard Télémaque,Est,Port Marianne,Montpellier,Non,SA3M,0.0,Non,2. Acc. de voiries,437.0,Non
MNTP_000684,École élémentaire Ronsard,20230101.0,694 Rue Jacques Bounin,Sud,Croix d'Argent,Montpellier,Non,Commune,2.0,Oui,6. Espaces verts écoles et crèches,4.0,Oui
MNTP_000824,Abords salle Avicenne,19970515.0,Avenue Paul Bringuier,Nord-Ouest,Cévennes,Montpellier,Non,Commune,0.0,Non,3. Acc. de bât. et équipements publics,3.0,Non
MNTP_000401,École élémentaire Jacques Brel,20240901.0,5 Impasse des Marmousets,Sud,Prés d'Arènes,Montpellier,Non,Commune,2.0,Oui,6. Espaces verts écoles et crèches,11.0,Oui
MNTP_000136,Tour de la Babotte,19850101.0,Boulevard Victor Hugo,Centre,Écusson,Montpellier,Non,Commune,0.0,Non,3. Acc. de bât. et équipements publics,4.0,Non
MNTP_000893,Abords Avenue du Colonel Pavelet,19991115.0,Avenue du Colonel Pavelet,Sud,Croix d'Argent,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,96.0,Non
MNTP_001205,Ilot échangeur sud Prés d'Arènes,20151105.0,Echangeur Montpellier sud,Sud,Prés d'Arènes,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,0.0,Non
MNTP_002559,Ilots Avenue du Professeur Étienne Antonelli,20240101.0,Avenue du Professeur Étienne Antonelli,Sud,Prés d'Arènes,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,0.0,Non
MNTP_000861,Abords Rue de Navacelles,19961226.0,Rue de Navacelles,Nord-Ouest,Hôpitaux - Facultés,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,0.0,Non
MNTP_002545,Abords Rue du Pilory,20050711.0,Rue du Pilory,Nord-Ouest,Mosson,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,0.0,Non
MNTP_000644,Abords Quai Louis le Vau,19910301.0,Quai Louis le Vau,Nord-Ouest,Mosson,Montpellier,Non,Commune,0.0,Non,4. Acc. d'habitations,27.0,Non
MNTP_002540,Parc Montcalm - CROUS,20110101.0,Rue des Chasseurs,Sud,Croix d'Argent,Montpellier,Non,Commune,1.0,Oui,1. Parcs et squares,0.0,Non
MNTP_000665,Abords Rue Hippolyte Fizeau,19920601.0,Rue Hippolyte Fizeau,Est,Port Marianne,Montpellier,Non,3M,0.0,Non,4. Acc. d'habitations,46.0,Non
MNTP_000532,Domaine de Méric - Privé,18620101.0,Rue de Ferran,Nord-Ouest,Hôpitaux - Facultés,Montpellier,Non,Commune,1.0,Oui,1. Parcs et squares,0.0,En partie
MNTP_000036,Square Louisville,19820101.0,Avenue de Louisville,Nord-Ouest,Mosson,Montpellier,Non,Commune,0.0,Non,1. Parcs et squares,0.0,Oui
MNTP_000331,Abords Allée de Corfou,19880101.0,Allée de Corfou,Centre,Antigone,Montpellier,Non,Commune,0.0,Non,4. Acc. d'habitations,8.0,Non
MNTP_000359,École élémentaire Baruch Spinoza,20240901.0,Rue Viollet le Duc,Nord-Ouest,Cévennes,Montpellier,Non,Commune,1.0,Non,6. Espaces verts écoles et crèches,2.0,Oui
MNTP_000966,Abords Rond-point Odette Branger Capion,20030102.0,Rue du Faubourg Boutonnet,Centre,Verdanson,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,8.0,Non
MNTP_000958,Abords ACM Alexender Bell,19950315.0,Rue Léonard de Vinci,Est,Port Marianne,Montpellier,Non,Commune,0.0,Non,4. Acc. d'habitations,0.0,Non
MNTP_000701,Place Roger Salengro,20221031.0,Place Roger Salengro,Centre,Peyrou,Montpellier,Non,Commune,0.0,Non,2. Acc. de voiries,6.0,Oui
MNTP_000032,Maison Pour Tous Marie Curie,19250101.0,Allée Pierre Carabasse,Nord-Ouest,Mosson,Montpellier,Non,Commune,1.0,Non,1. Parcs et squares,92.0,Oui
MNTP_000640,Halte garderie Mary Poppins,19880101.0,Parc Tastavin,Sud,Croix d'Argent,Montpellier,Non,Commune,1.0,Non,6. Espaces verts écoles et crèches,2.0,Oui
MNTP_000244,Abords parking Rue Pierre d'Auvergne,19720101.0,Rue Pierre d'Auvergne,Nord-Ouest,Les Hauts de Massane,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,10.0,Non
MNTP_000502,Abords Rue Eurydice,19910301.0,Rue Eurydice,Nord-Ouest,Cévennes,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,13.0,Non
MNTP_002541,Abord Rue des Myrtes,20240401.0,Rue des Myrtes,Nord-Ouest,Cévennes,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,0.0,Non
MNTP_000111,Place Faulquier,19870101.0,Place Faulquier,Centre,Antigone,Montpellier,Non,Commune,0.0,Non,2. Acc. de voiries,10.0,Non
MNTP_000972,Parc de la Mogère,20240123.0,Route de Vauguières,Est,Port Marianne,Montpellier,Non,Commune,3.0,Non,1. Parcs et squares,83.0,Oui
MNTP_001147,Abords Allée Alberto Giacometti,19970101.0,Allée Alberto Giacometti,Est,Port Marianne,Montpellier,Non,SA3M,2.0,Non,2. Acc. de voiries,66.0,Non
MNTP_000820,Abords Allée du Comté de Foix,19961001.0,Allée du Comté de Foix,Nord-Ouest,Les Hauts de Massane,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,0.0,Non
MNTP_001099,Ilot Rue Martin Luther King,20090911.0,Rue Martin Luther King,Nord-Ouest,Cévennes,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,0.0,Non
MNTP_001138,Abords Chemin des Barques,20100301.0,Chemin des Barques,Est,Port Marianne,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,23.0,Non
MNTP_000924,Ilot Impasse des Briquetiers,20010101.0,Impasse des Briquetiers,Nord-Ouest,Cévennes,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,0.0,Non
MNTP_000349,École maternelle Miguel de Cervantes,19700101.0,Rue Charles Bonaparte,Nord-Ouest,Mosson,Montpellier,Non,Commune,1.0,Non,6. Espaces verts écoles et crèches,4.0,Oui
MNTP_000361,École élémentaire Charles Baudelaire,19700101.0,Avenue Saint-Clément,Nord-Ouest,Cévennes,Montpellier,Non,Commune,2.0,Non,6. Espaces verts écoles et crèches,0.0,Oui
MNTP_002551,Abords Avenue des Dragées,20240624.0,Avenue des Dragées,Sud,Croix d'Argent,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,14.0,Non
MNTP_000803,Abords du Parnasse,19960115.0,Avenue de la Pompignane,Est,Port Marianne,Montpellier,Non,Commune,0.0,Non,2. Acc. de voiries,19.0,Non
MNTP_000420,Ilot Rue du Grenache,19900101.0,Rue du Grenache,Nord-Ouest,Cévennes,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,0.0,Non
MNTP_001304,Abords Rue du Caducée,19900501.0,Rue du Caducée,Nord-Ouest,Hôpitaux - Facultés,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,0.0,Non
MNTP_001306,Tram Ligne 1 - Abords Avenue Émile Bertin-Sans,20001006.0,Avenue Émile Bertin-Sans,Nord-Ouest,Hôpitaux - Facultés,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,0.0,Non
MNTP_001005,Berges du Lez - Abords Château le Lez,20010115.0,Rue de Sémalen,Centre,Antigone,Montpellier,Non,Commune,0.0,Non,4. Acc. d'habitations,33.0,Oui
MNTP_000841,Abords Jardins des ormes,19980112.0,Rue de Mourèze,Nord-Ouest,Cévennes,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,11.0,Non
MNTP_001065,Abords Rue Judith Restnick,20071204.0,Rue Judith Restnick,Nord-Ouest,Cévennes,Montpellier,Non,Commune,0.0,Non,2. Acc. de voiries,0.0,Non
MNTP_001066,Rond-point de Thèbes,19910901.0,Rue de Thèbes,Centre,Antigone,Montpellier,Non,Commune,0.0,Non,2. Acc. de voiries,4.0,Non
MNTP_000094,Place du Minervois,19720101.0,Place du Minervois,Nord-Ouest,Les Hauts de Massane,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,11.0,Non
MNTP_001187,Abords Route de Vauguières,20141126.0,Route de Vauguières,Est,Port Marianne,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,0.0,Non
MNTP_000089,Les Clolus 3,19650101.0,Rue Cyrano de Bergerac,Nord-Ouest,Hôpitaux - Facultés,Montpellier,Non,Commune,0.0,Non,1. Parcs et squares,0.0,Non
MNTP_000996,Parc René Dumont,20220101.0,Boulevard Vieussens,Centre,Peyrou,Montpellier,Non,Région,3.0,Oui,1. Parcs et squares,0.0,Oui
MNTP_000969,Transparence Lez-Lironde,20030301.0,Avenue de Boirargues,Est,Port Marianne,Montpellier,Non,Commune,0.0,Non,9. Espaces de nature,0.0,Non
MNTP_000171,École maternelle Virginia Woolf,19700101.0,Rue de Bari,Nord-Ouest,Les Hauts de Massane,Montpellier,Non,Commune,1.0,Non,6. Espaces verts écoles et crèches,0.0,Oui
MNTP_000134,Place Gallot,19890101.0,Avenue de l'École d'Agriculture Gabriel Buchet,Centre,Peyrou,Montpellier,Non,Commune,0.0,Non,2. Acc. de voiries,2.0,Non
MNTP_000083,Promenade du Peyrou,17740101.0,Rue la Blottière,Centre,Peyrou,Montpellier,Non,Commune,4.0,Oui,1. Parcs et squares,269.0,Oui
MNTP_000691,Abords Avenue François Delmas,19950615.0,Avenue François Delmas,Centre,Verdanson,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,21.0,Non
MNTP_000952,Abords Rue de la Marquerose,20010601.0,Rue de la Marquerose,Sud,Croix d'Argent,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,0.0,Non
MNTP_000993,Ilot Impasse de la Pointe Vigne,20040826.0,Impasse de la Pointe Vigne,Nord-Ouest,Cévennes,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,0.0,Non
MNTP_000144,Square Maquis Bir-hakeim,18580101.0,Boulevard Benjamin Milhaud,Centre,Peyrou,Montpellier,Non,Commune,5.0,Oui,1. Parcs et squares,35.0,Oui
MNTP_000891,Square du Soleil Levant,20000522.0,Avenue du Comté de Nice,Nord-Ouest,Les Hauts de Massane,Montpellier,Non,Commune,0.0,Non,1. Parcs et squares,0.0,En partie
MNTP_000338,École élémentaire André Boulloche,20210901.0,Rue de Bari,Nord-Ouest,Les Hauts de Massane,Montpellier,Non,Commune,2.0,Non,6. Espaces verts écoles et crèches,8.0,Oui
MNTP_000968,Place Henri Krasucki,20030101.0,Place Henri Krasucki,Centre,Verdanson,Montpellier,Non,3M,0.0,Non,2. Acc. de voiries,8.0,Oui
